vdm	I(I)
Step Information: Vcm=0  (Run: 1/101)
-1.000000000000000e+000	-1.018790e-005
-9.500000000000000e-001	-1.018359e-005
-8.999999999999999e-001	-1.017256e-005
-8.499999999999999e-001	-1.014249e-005
-7.999999999999998e-001	-1.007206e-005
-7.499999999999998e-001	-9.940230e-006
-6.999999999999997e-001	-9.735159e-006
-6.499999999999997e-001	-9.453232e-006
-5.999999999999996e-001	-9.095034e-006
-5.499999999999996e-001	-8.662600e-006
-4.999999999999996e-001	-8.158480e-006
-4.499999999999996e-001	-7.584598e-006
-3.999999999999996e-001	-6.942589e-006
-3.499999999999996e-001	-6.233739e-006
-2.999999999999997e-001	-5.459621e-006
-2.499999999999997e-001	-4.623126e-006
-1.999999999999997e-001	-3.729245e-006
-1.499999999999997e-001	-2.786211e-006
-9.999999999999969e-002	-1.807527e-006
-4.999999999999968e-002	-8.084706e-007
3.191891195797325e-016	1.989081e-007
5.000000000000032e-002	1.205391e-006
1.000000000000003e-001	2.201775e-006
1.500000000000003e-001	3.176072e-006
2.000000000000003e-001	4.113144e-006
2.500000000000003e-001	4.999697e-006
3.000000000000003e-001	5.827719e-006
3.500000000000003e-001	6.592441e-006
4.000000000000003e-001	7.291180e-006
4.500000000000003e-001	7.922562e-006
5.000000000000003e-001	8.485483e-006
5.500000000000004e-001	8.978553e-006
6.000000000000004e-001	9.399963e-006
6.500000000000005e-001	9.747650e-006
7.000000000000005e-001	1.001991e-005
7.500000000000006e-001	1.021654e-005
8.000000000000006e-001	1.034177e-005
8.500000000000006e-001	1.040793e-005
9.000000000000007e-001	1.043590e-005
9.500000000000007e-001	1.044617e-005
1.000000000000000e+000	1.045024e-005
Step Information: Vcm=50m  (Run: 2/101)
-1.000000000000000e+000	-1.018553e-005
-9.500000000000000e-001	-1.018275e-005
-8.999999999999999e-001	-1.017692e-005
-8.499999999999999e-001	-1.016090e-005
-7.999999999999998e-001	-1.011711e-005
-7.499999999999998e-001	-1.001968e-005
-6.999999999999997e-001	-9.848013e-006
-6.499999999999997e-001	-9.592851e-006
-5.999999999999996e-001	-9.252496e-006
-5.499999999999996e-001	-8.828394e-006
-4.999999999999996e-001	-8.323257e-006
-4.499999999999996e-001	-7.739496e-006
-3.999999999999996e-001	-7.079626e-006
-3.499999999999996e-001	-6.346517e-006
-2.999999999999997e-001	-5.544316e-006
-2.499999999999997e-001	-4.678907e-006
-1.999999999999997e-001	-3.759420e-006
-1.499999999999997e-001	-2.799328e-006
-9.999999999999969e-002	-1.812658e-006
-4.999999999999968e-002	-8.103890e-007
3.191891195797325e-016	1.988378e-007
5.000000000000032e-002	1.207165e-006
1.000000000000003e-001	2.206746e-006
1.500000000000003e-001	3.188976e-006
2.000000000000003e-001	4.142955e-006
2.500000000000003e-001	5.054813e-006
3.000000000000003e-001	5.911305e-006
3.500000000000003e-001	6.703547e-006
4.000000000000003e-001	7.425901e-006
4.500000000000003e-001	8.074476e-006
5.000000000000003e-001	8.646629e-006
5.500000000000004e-001	9.140150e-006
6.000000000000004e-001	9.552792e-006
6.500000000000005e-001	9.882495e-006
7.000000000000005e-001	1.012807e-005
7.500000000000006e-001	1.029189e-005
8.000000000000006e-001	1.038384e-005
8.500000000000006e-001	1.042471e-005
9.000000000000007e-001	1.043960e-005
9.500000000000007e-001	1.044510e-005
1.000000000000000e+000	1.044779e-005
Step Information: Vcm=100m  (Run: 3/101)
-1.000000000000000e+000	-1.018237e-005
-9.500000000000000e-001	-1.018005e-005
-8.999999999999999e-001	-1.017626e-005
-8.499999999999999e-001	-1.016709e-005
-7.999999999999998e-001	-1.014021e-005
-7.499999999999998e-001	-1.007000e-005
-6.999999999999997e-001	-9.927885e-006
-6.499999999999997e-001	-9.697020e-006
-5.999999999999996e-001	-9.372190e-006
-5.499999999999996e-001	-8.953987e-006
-4.999999999999996e-001	-8.445113e-006
-4.499999999999996e-001	-7.849318e-006
-3.999999999999996e-001	-7.170822e-006
-3.499999999999996e-001	-6.415114e-006
-2.999999999999997e-001	-5.589207e-006
-2.499999999999997e-001	-4.703313e-006
-1.999999999999997e-001	-3.770860e-006
-1.499999999999997e-001	-2.804854e-006
-9.999999999999969e-002	-1.815642e-006
-4.999999999999968e-002	-8.118070e-007
3.191891195797325e-016	1.987667e-007
