vdm	I(I)
Step Information: Vcm=0  (Run: 1/101)
-1.000000000000000e+000	-9.524659e-006
-9.500000000000000e-001	-9.522269e-006
-8.999999999999999e-001	-9.517304e-006
-8.499999999999999e-001	-9.503906e-006
-7.999999999999998e-001	-9.467281e-006
-7.499999999999998e-001	-9.384072e-006
-6.999999999999997e-001	-9.233843e-006
-6.499999999999997e-001	-9.006466e-006
-5.999999999999996e-001	-8.699538e-006
-5.499999999999996e-001	-8.314209e-006
-4.999999999999996e-001	-7.852679e-006
-4.499999999999996e-001	-7.317450e-006
-3.999999999999996e-001	-6.710408e-006
-3.499999999999996e-001	-6.033401e-006
-2.999999999999997e-001	-5.288698e-006
-2.499999999999997e-001	-4.480091e-006
-1.999999999999997e-001	-3.613508e-006
-1.499999999999997e-001	-2.698788e-006
-9.999999999999969e-002	-1.750504e-006
-4.999999999999968e-002	-7.831841e-007
3.191891195797325e-016	1.921254e-007
5.000000000000032e-002	1.166542e-006
1.000000000000003e-001	2.131195e-006
1.500000000000003e-001	3.075092e-006
2.000000000000003e-001	3.983832e-006
2.500000000000003e-001	4.843047e-006
3.000000000000003e-001	5.643130e-006
3.500000000000003e-001	6.378391e-006
4.000000000000003e-001	7.045267e-006
4.500000000000003e-001	7.641695e-006
5.000000000000003e-001	8.166080e-006
5.500000000000004e-001	8.616666e-006
6.000000000000004e-001	8.991418e-006
6.500000000000005e-001	9.288482e-006
7.000000000000005e-001	9.507058e-006
7.500000000000006e-001	9.650201e-006
8.000000000000006e-001	9.728606e-006
8.500000000000006e-001	9.762744e-006
9.000000000000007e-001	9.775199e-006
9.500000000000007e-001	9.779882e-006
1.000000000000000e+000	9.782199e-006
Step Information: Vcm=50m  (Run: 2/101)
-1.000000000000000e+000	-9.522005e-006
-9.500000000000000e-001	-9.520051e-006
-8.999999999999999e-001	-9.516940e-006
-8.499999999999999e-001	-9.509737e-006
-7.999999999999998e-001	-9.488987e-006
-7.499999999999998e-001	-9.433317e-006
-6.999999999999997e-001	-9.315463e-006
-6.499999999999997e-001	-9.116896e-006
-5.999999999999996e-001	-8.830697e-006
-5.499999999999996e-001	-8.456471e-006
-4.999999999999996e-001	-7.996267e-006
-4.499999999999996e-001	-7.453094e-006
-3.999999999999996e-001	-6.829903e-006
-3.499999999999996e-001	-6.130449e-006
-2.999999999999997e-001	-5.359778e-006
-2.499999999999997e-001	-4.524837e-006
-1.999999999999997e-001	-3.636344e-006
-1.499999999999997e-001	-2.708468e-006
-9.999999999999969e-002	-1.754512e-006
-4.999999999999968e-002	-7.848062e-007
3.191891195797325e-016	1.920556e-007
5.000000000000032e-002	1.168020e-006
1.000000000000003e-001	2.135047e-006
1.500000000000003e-001	3.084576e-006
2.000000000000003e-001	4.006352e-006
2.500000000000003e-001	4.887215e-006
3.000000000000003e-001	5.713223e-006
3.500000000000003e-001	6.473918e-006
4.000000000000003e-001	7.162622e-006
4.500000000000003e-001	7.774556e-006
5.000000000000003e-001	8.306273e-006
5.500000000000004e-001	8.755016e-006
6.000000000000004e-001	9.118389e-006
6.500000000000005e-001	9.394608e-006
7.000000000000005e-001	9.584737e-006
7.500000000000006e-001	9.696401e-006
8.000000000000006e-001	9.748519e-006
8.500000000000006e-001	9.767810e-006
9.000000000000007e-001	9.774569e-006
9.500000000000007e-001	9.777569e-006
