vdm	I(I)
Step Information: Vcm=0  (Run: 1/101)
-1.000000000000000e+000	-1.035080e-005
-9.500000000000000e-001	-1.034569e-005
-8.999999999999999e-001	-1.033219e-005
-8.499999999999999e-001	-1.029617e-005
-7.999999999999998e-001	-1.021560e-005
-7.499999999999998e-001	-1.007105e-005
-6.999999999999997e-001	-9.852633e-006
-6.499999999999997e-001	-9.557840e-006
-5.999999999999996e-001	-9.187687e-006
-5.499999999999996e-001	-8.744320e-006
-4.999999999999996e-001	-8.230269e-006
-4.499999999999996e-001	-7.647376e-006
-3.999999999999996e-001	-6.997189e-006
-3.499999999999996e-001	-6.280879e-006
-2.999999999999997e-001	-5.499867e-006
-2.499999999999997e-001	-4.656836e-006
-1.999999999999997e-001	-3.756567e-006
-1.499999999999997e-001	-2.806940e-006
-9.999999999999969e-002	-1.821128e-006
-4.999999999999968e-002	-8.145323e-007
3.191891195797325e-016	2.005139e-007
5.000000000000032e-002	1.214664e-006
1.000000000000003e-001	2.218586e-006
1.500000000000003e-001	3.200011e-006
2.000000000000003e-001	4.143681e-006
2.500000000000003e-001	5.036633e-006
3.000000000000003e-001	5.871203e-006
3.500000000000003e-001	6.642832e-006
4.000000000000003e-001	7.349037e-006
4.500000000000003e-001	7.988595e-006
5.000000000000003e-001	8.560505e-006
5.500000000000004e-001	9.063468e-006
6.000000000000004e-001	9.495737e-006
6.500000000000005e-001	9.855256e-006
7.000000000000005e-001	1.014020e-005
7.500000000000006e-001	1.034989e-005
8.000000000000006e-001	1.048745e-005
8.500000000000006e-001	1.056330e-005
9.000000000000007e-001	1.059685e-005
9.500000000000007e-001	1.060938e-005
1.000000000000000e+000	1.061420e-005
Step Information: Vcm=50m  (Run: 2/101)
-1.000000000000000e+000	-1.034860e-005
-9.500000000000000e-001	-1.034548e-005
-8.999999999999999e-001	-1.033850e-005
-8.499999999999999e-001	-1.031904e-005
-7.999999999999998e-001	-1.026756e-005
-7.499999999999998e-001	-1.015840e-005
-6.999999999999997e-001	-9.973207e-006
-6.499999999999997e-001	-9.704529e-006
-5.999999999999996e-001	-9.351491e-006
-5.499999999999996e-001	-8.915800e-006
-4.999999999999996e-001	-8.400184e-006
-4.499999999999996e-001	-7.806968e-006
-3.999999999999996e-001	-7.138533e-006
-3.499999999999996e-001	-6.397559e-006
-2.999999999999997e-001	-5.587977e-006
-2.499999999999997e-001	-4.715449e-006
-1.999999999999997e-001	-3.788731e-006
-1.499999999999997e-001	-2.821057e-006
-9.999999999999969e-002	-1.826601e-006
-4.999999999999968e-002	-8.165401e-007
3.191891195797325e-016	2.004435e-007
5.000000000000032e-002	1.216527e-006
1.000000000000003e-001	2.223898e-006
1.500000000000003e-001	3.213910e-006
2.000000000000003e-001	4.175468e-006
2.500000000000003e-001	5.094559e-006
3.000000000000003e-001	5.958176e-006
3.500000000000003e-001	6.757803e-006
4.000000000000003e-001	7.488024e-006
4.500000000000003e-001	8.145155e-006
5.000000000000003e-001	8.726737e-006
5.500000000000004e-001	9.230685e-006
6.000000000000004e-001	9.654823e-006
6.500000000000005e-001	9.997058e-006
7.000000000000005e-001	1.025591e-005
7.500000000000006e-001	1.043291e-005
8.000000000000006e-001	1.053614e-005
8.500000000000006e-001	1.058426e-005
9.000000000000007e-001	1.060235e-005
9.500000000000007e-001	1.060889e-005
1.000000000000000e+000	1.061190e-005
Step Information: Vcm=100m  (Run: 3/101)
-1.000000000000000e+000	-1.034547e-005
-9.500000000000000e-001	-1.034299e-005
-8.999999999999999e-001	-1.033866e-005
-8.499999999999999e-001	-1.032762e-005
-7.999999999999998e-001	-1.029547e-005
-7.499999999999998e-001	-1.021517e-005
-6.999999999999997e-001	-1.005980e-005
-6.499999999999997e-001	-9.814988e-006
-5.999999999999996e-001	-9.476859e-006
-5.499999999999996e-001	-9.046479e-006
-4.999999999999996e-001	-8.526617e-006
-4.499999999999996e-001	-7.920909e-006
-3.999999999999996e-001	-7.233375e-006
-3.499999999999996e-001	-6.469285e-006
-2.999999999999997e-001	-5.635387e-006
-2.499999999999997e-001	-4.741525e-006
-1.999999999999997e-001	-3.800970e-006
-1.499999999999997e-001	-2.826867e-006
-9.999999999999969e-002	-1.829680e-006
-4.999999999999968e-002	-8.179903e-007
3.191891195797325e-016	2.003724e-007
5.000000000000032e-002	1.217832e-006
1.000000000000003e-001	2.226822e-006
1.500000000000003e-001	3.219542e-006
2.000000000000003e-001	4.187470e-006
2.500000000000003e-001	5.120242e-006
3.000000000000003e-001	6.004890e-006
3.500000000000003e-001	6.828393e-006
4.000000000000003e-001	7.581185e-006
4.500000000000003e-001	8.256794e-006
5.000000000000003e-001	8.850273e-006
5.500000000000004e-001	9.357809e-006
6.000000000000004e-001	9.776305e-006
6.500000000000005e-001	1.010344e-005
7.000000000000005e-001	1.033859e-005
7.500000000000006e-001	1.048641e-005
8.000000000000006e-001	1.056191e-005
8.500000000000006e-001	1.059184e-005
9.000000000000007e-001	1.060214e-005
9.500000000000007e-001	1.060628e-005
1.000000000000000e+000	1.060872e-005
Step Information: Vcm=150m  (Run: 4/101)
-1.000000000000000e+000	-1.034177e-005
-9.500000000000000e-001	-1.033942e-005
-8.999999999999999e-001	-1.033609e-005
-8.499999999999999e-001	-1.032901e-005
-7.999999999999998e-001	-1.030832e-005
-7.499999999999998e-001	-1.024935e-005
-6.999999999999997e-001	-1.011887e-005
-6.499999999999997e-001	-9.894363e-006
-5.999999999999996e-001	-9.567941e-006
-5.499999999999996e-001	-9.139793e-006
-4.999999999999996e-001	-8.613495e-006
-4.499999999999996e-001	-7.994521e-006
-3.999999999999996e-001	-7.289362e-006
-3.499999999999996e-001	-6.506174e-006
-2.999999999999997e-001	-5.656011e-006
-2.499999999999997e-001	-4.752170e-006
-1.999999999999997e-001	-3.807057e-006
-1.499999999999997e-001	-2.830835e-006
-9.999999999999969e-002	-1.832232e-006
-4.999999999999968e-002	-8.192872e-007
3.191891195797325e-016	2.003006e-007
5.000000000000032e-002	1.218982e-006
1.000000000000003e-001	2.229219e-006
1.500000000000003e-001	3.223341e-006
2.000000000000003e-001	4.193360e-006
2.500000000000003e-001	5.130633e-006
3.000000000000003e-001	6.025119e-006
3.500000000000003e-001	6.864608e-006
4.000000000000003e-001	7.636086e-006
4.500000000000003e-001	8.328822e-006
5.000000000000003e-001	8.935018e-006
5.500000000000004e-001	9.448489e-006
6.000000000000004e-001	9.864419e-006
6.500000000000005e-001	1.017961e-005
7.000000000000005e-001	1.039465e-005
7.500000000000006e-001	1.051828e-005
8.000000000000006e-001	1.057346e-005
8.500000000000006e-001	1.059272e-005
9.000000000000007e-001	1.059940e-005
9.500000000000007e-001	1.060265e-005
1.000000000000000e+000	1.060498e-005
Step Information: Vcm=200m  (Run: 5/101)
-1.000000000000000e+000	-1.033759e-005
-9.500000000000000e-001	-1.033517e-005
-8.999999999999999e-001	-1.033215e-005
-8.499999999999999e-001	-1.032686e-005
-7.999999999999998e-001	-1.031249e-005
-7.499999999999998e-001	-1.026795e-005
-6.999999999999997e-001	-1.015661e-005
-6.499999999999997e-001	-9.947891e-006
-5.999999999999996e-001	-9.629414e-006
-5.499999999999996e-001	-9.200780e-006
-4.999999999999996e-001	-8.667014e-006
-4.499999999999996e-001	-8.035780e-006
-3.999999999999996e-001	-7.316720e-006
-3.499999999999996e-001	-6.522106e-006
-2.999999999999997e-001	-5.665314e-006
-2.499999999999997e-001	-4.758432e-006
-1.999999999999997e-001	-3.811739e-006
-1.499999999999997e-001	-2.834329e-006
-9.999999999999969e-002	-1.834600e-006
-4.999999999999968e-002	-8.205149e-007
3.191891195797325e-016	2.002281e-007
5.000000000000032e-002	1.220062e-006
1.000000000000003e-001	2.231431e-006
1.500000000000003e-001	3.226665e-006
2.000000000000003e-001	4.197854e-006
2.500000000000003e-001	5.136677e-006
3.000000000000003e-001	6.034149e-006
3.500000000000003e-001	6.880148e-006
4.000000000000003e-001	7.662813e-006
4.500000000000003e-001	8.369089e-006
5.000000000000003e-001	8.987111e-006
5.500000000000004e-001	9.507631e-006
6.000000000000004e-001	9.923669e-006
6.500000000000005e-001	1.023075e-005
7.000000000000005e-001	1.043020e-005
7.500000000000006e-001	1.053533e-005
8.000000000000006e-001	1.057689e-005
8.500000000000006e-001	1.059030e-005
9.000000000000007e-001	1.059537e-005
9.500000000000007e-001	1.059835e-005
1.000000000000000e+000	1.060077e-005
Step Information: Vcm=250m  (Run: 6/101)
-1.000000000000000e+000	-1.033295e-005
-9.500000000000000e-001	-1.033036e-005
-8.999999999999999e-001	-1.032735e-005
-8.499999999999999e-001	-1.032282e-005
-7.999999999999998e-001	-1.031181e-005
-7.499999999999998e-001	-1.027636e-005
-6.999999999999997e-001	-1.017848e-005
-6.499999999999997e-001	-9.980784e-006
-5.999999999999996e-001	-9.666791e-006
-5.499999999999996e-001	-9.235917e-006
-4.999999999999996e-001	-8.694992e-006
-4.499999999999996e-001	-8.054862e-006
-3.999999999999996e-001	-7.328736e-006
-3.499999999999996e-001	-6.530223e-006
-2.999999999999997e-001	-5.671594e-006
-2.499999999999997e-001	-4.763624e-006
-1.999999999999997e-001	-3.815995e-006
-1.499999999999997e-001	-2.837621e-006
-9.999999999999969e-002	-1.836864e-006
