vdm	I(I)
Step Information: Vcm=0  (Run: 1/101)
-1.000000000000000e+000	-1.024113e-005
-9.500000000000000e-001	-1.023658e-005
-8.999999999999999e-001	-1.022480e-005
-8.499999999999999e-001	-1.019287e-005
-7.999999999999998e-001	-1.011919e-005
-7.499999999999998e-001	-9.983224e-006
-6.999999999999997e-001	-9.773781e-006
-6.499999999999997e-001	-9.487625e-006
-5.999999999999996e-001	-9.125494e-006
-5.499999999999996e-001	-8.689462e-006
-4.999999999999996e-001	-8.182075e-006
-4.499999999999996e-001	-7.605229e-006
-3.999999999999996e-001	-6.960531e-006
-3.499999999999996e-001	-6.249229e-006
-2.999999999999997e-001	-5.472844e-006
-2.499999999999997e-001	-4.634201e-006
-1.999999999999997e-001	-3.738220e-006
-1.499999999999997e-001	-2.793016e-006
-9.999999999999969e-002	-1.811989e-006
-4.999999999999968e-002	-8.104576e-007
3.191891195797325e-016	1.994354e-007
5.000000000000032e-002	1.208432e-006
1.000000000000003e-001	2.207291e-006
1.500000000000003e-001	3.183931e-006
2.000000000000003e-001	4.123174e-006
2.500000000000003e-001	5.011831e-006
3.000000000000003e-001	5.842005e-006
3.500000000000003e-001	6.608997e-006
4.000000000000003e-001	7.310191e-006
4.500000000000003e-001	7.944262e-006
5.000000000000003e-001	8.510138e-006
5.500000000000004e-001	9.006463e-006
6.000000000000004e-001	9.431447e-006
6.500000000000005e-001	9.783026e-006
7.000000000000005e-001	1.005946e-005
7.500000000000006e-001	1.026036e-005
8.000000000000006e-001	1.038960e-005
8.500000000000006e-001	1.045886e-005
9.000000000000007e-001	1.048857e-005
9.500000000000007e-001	1.049952e-005
1.000000000000000e+000	1.050382e-005
Step Information: Vcm=50m  (Run: 2/101)
-1.000000000000000e+000	-1.023881e-005
-9.500000000000000e-001	-1.023593e-005
-8.999999999999999e-001	-1.022975e-005
-8.499999999999999e-001	-1.021267e-005
-7.999999999999998e-001	-1.016645e-005
-7.499999999999998e-001	-1.006525e-005
-6.999999999999997e-001	-9.889159e-006
-6.499999999999997e-001	-9.629560e-006
-5.999999999999996e-001	-9.285034e-006
-5.499999999999996e-001	-8.857119e-006
-4.999999999999996e-001	-8.348534e-006
-4.499999999999996e-001	-7.761662e-006
-3.999999999999996e-001	-7.098975e-006
-3.499999999999996e-001	-6.363280e-006
-2.999999999999997e-001	-5.558652e-006
-2.499999999999997e-001	-4.690903e-006
-1.999999999999997e-001	-3.769037e-006
-1.499999999999997e-001	-2.806453e-006
-9.999999999999969e-002	-1.817228e-006
-4.999999999999968e-002	-8.124044e-007
3.191891195797325e-016	1.993650e-007
5.000000000000032e-002	1.210235e-006
1.000000000000003e-001	2.212370e-006
1.500000000000003e-001	3.197153e-006
2.000000000000003e-001	4.153623e-006
2.500000000000003e-001	5.067860e-006
3.000000000000003e-001	5.926695e-006
3.500000000000003e-001	6.721365e-006
4.000000000000003e-001	7.446307e-006
4.500000000000003e-001	8.097695e-006
5.000000000000003e-001	8.672950e-006
5.500000000000004e-001	9.169901e-006
6.000000000000004e-001	9.586326e-006
6.500000000000005e-001	9.920150e-006
7.000000000000005e-001	1.017008e-005
7.500000000000006e-001	1.033820e-005
8.000000000000006e-001	1.043379e-005
8.500000000000006e-001	1.047694e-005
9.000000000000007e-001	1.049281e-005
9.500000000000007e-001	1.049863e-005
1.000000000000000e+000	1.050141e-005
Step Information: Vcm=100m  (Run: 3/101)
-1.000000000000000e+000	-1.023566e-005
-9.500000000000000e-001	-1.023329e-005
-8.999999999999999e-001	-1.022934e-005
-8.499999999999999e-001	-1.021960e-005
-7.999999999999998e-001	-1.019108e-005
-7.499999999999998e-001	-1.011765e-005
-6.999999999999997e-001	-9.971220e-006
-6.499999999999997e-001	-9.735784e-006
-5.999999999999996e-001	-9.406584e-006
-5.499999999999996e-001	-8.984374e-006
-4.999999999999996e-001	-8.471885e-006
-4.499999999999996e-001	-7.872829e-006
-3.999999999999996e-001	-7.191361e-006
-3.499999999999996e-001	-6.432896e-006
-2.999999999999997e-001	-5.604360e-006
-2.499999999999997e-001	-4.715846e-006
-1.999999999999997e-001	-3.780732e-006
-1.499999999999997e-001	-2.812070e-006
-9.999999999999969e-002	-1.820243e-006
-4.999999999999968e-002	-8.138327e-007
3.191891195797325e-016	1.992939e-007
5.000000000000032e-002	1.211518e-006
1.000000000000003e-001	2.215229e-006
1.500000000000003e-001	3.202593e-006
2.000000000000003e-001	4.165085e-006
2.500000000000003e-001	5.092421e-006
3.000000000000003e-001	5.971724e-006
3.500000000000003e-001	6.789867e-006
4.000000000000003e-001	7.537039e-006
4.500000000000003e-001	8.206593e-006
5.000000000000003e-001	8.793443e-006
5.500000000000004e-001	9.293650e-006
6.000000000000004e-001	9.704049e-006
6.500000000000005e-001	1.002238e-005
7.000000000000005e-001	1.024834e-005
7.500000000000006e-001	1.038750e-005
8.000000000000006e-001	1.045645e-005
8.500000000000006e-001	1.048298e-005
9.000000000000007e-001	1.049209e-005
9.500000000000007e-001	1.049589e-005
1.000000000000000e+000	1.049822e-005
Step Information: Vcm=150m  (Run: 4/101)
-1.000000000000000e+000	-1.023197e-005
-9.500000000000000e-001	-1.022969e-005
-8.999999999999999e-001	-1.022654e-005
-8.499999999999999e-001	-1.022019e-005
-7.999999999999998e-001	-1.020188e-005
-7.499999999999998e-001	-1.014852e-005
-6.999999999999997e-001	-1.002655e-005
-6.499999999999997e-001	-9.811566e-006
-5.999999999999996e-001	-9.494398e-006
-5.499999999999996e-001	-9.074767e-006
-4.999999999999996e-001	-8.556179e-006
-4.499999999999996e-001	-7.944196e-006
-3.999999999999996e-001	-7.245454e-006
-3.499999999999996e-001	-6.468317e-006
-2.999999999999997e-001	-5.624067e-006
-2.499999999999997e-001	-4.726066e-006
-1.999999999999997e-001	-3.786656e-006
-1.499999999999997e-001	-2.815971e-006
-9.999999999999969e-002	-1.822763e-006
-4.999999999999968e-002	-8.151162e-007
3.191891195797325e-016	1.992222e-007
5.000000000000032e-002	1.212655e-006
1.000000000000003e-001	2.217595e-006
1.500000000000003e-001	3.206325e-006
2.000000000000003e-001	4.170813e-006
2.500000000000003e-001	5.102389e-006
3.000000000000003e-001	5.991044e-006
3.500000000000003e-001	6.824631e-006
4.000000000000003e-001	7.590069e-006
4.500000000000003e-001	8.276406e-006
5.000000000000003e-001	8.875641e-006
5.500000000000004e-001	9.381457e-006
6.000000000000004e-001	9.788954e-006
6.500000000000005e-001	1.009503e-005
7.000000000000005e-001	1.030078e-005
7.500000000000006e-001	1.041621e-005
8.000000000000006e-001	1.046608e-005
8.500000000000006e-001	1.048313e-005
9.000000000000007e-001	1.048915e-005
9.500000000000007e-001	1.049222e-005
1.000000000000000e+000	1.049450e-005
Step Information: Vcm=200m  (Run: 5/101)
-1.000000000000000e+000	-1.022782e-005
-9.500000000000000e-001	-1.022544e-005
-8.999999999999999e-001	-1.022253e-005
-8.499999999999999e-001	-1.021766e-005
-7.999999999999998e-001	-1.020488e-005
-7.499999999999998e-001	-1.016482e-005
-6.999999999999997e-001	-1.006140e-005
-6.499999999999997e-001	-9.862212e-006
-5.999999999999996e-001	-9.553240e-006
-5.499999999999996e-001	-9.133437e-006
-4.999999999999996e-001	-8.607708e-006
-4.499999999999996e-001	-7.983809e-006
-3.999999999999996e-001	-7.271598e-006
-3.499999999999996e-001	-6.483535e-006
-2.999999999999997e-001	-5.633042e-006
-2.499999999999997e-001	-4.732188e-006
-1.999999999999997e-001	-3.791269e-006
-1.499999999999997e-001	-2.819425e-006
-9.999999999999969e-002	-1.825108e-006
-4.999999999999968e-002	-8.163331e-007
3.191891195797325e-016	1.991497e-007
5.000000000000032e-002	1.213724e-006
1.000000000000003e-001	2.219784e-006
1.500000000000003e-001	3.209610e-006
2.000000000000003e-001	4.175238e-006
2.500000000000003e-001	5.108295e-006
3.000000000000003e-001	5.999750e-006
3.500000000000003e-001	6.839465e-006
4.000000000000003e-001	7.615599e-006
4.500000000000003e-001	8.315053e-006
5.000000000000003e-001	8.925778e-006
5.500000000000004e-001	9.438323e-006
6.000000000000004e-001	9.845628e-006
6.500000000000005e-001	1.014337e-005
7.000000000000005e-001	1.033353e-005
7.500000000000006e-001	1.043107e-005
8.000000000000006e-001	1.046842e-005
8.500000000000006e-001	1.048038e-005
9.000000000000007e-001	1.048506e-005
9.500000000000007e-001	1.048793e-005
1.000000000000000e+000	1.049032e-005
Step Information: Vcm=250m  (Run: 6/101)
-1.000000000000000e+000	-1.022321e-005
-9.500000000000000e-001	-1.022065e-005
-8.999999999999999e-001	-1.021772e-005
-8.499999999999999e-001	-1.021347e-005
-7.999999999999998e-001	-1.020356e-005
-7.499999999999998e-001	-1.017173e-005
-6.999999999999997e-001	-1.008118e-005
-6.499999999999997e-001	-9.892959e-006
-5.999999999999996e-001	-9.588663e-006
-5.499999999999996e-001	-9.166890e-006
-4.999999999999996e-001	-8.634325e-006
-4.499999999999996e-001	-8.001940e-006
-3.999999999999996e-001	-7.283078e-006
-3.499999999999996e-001	-6.491396e-006
-2.999999999999997e-001	-5.639195e-006
-2.499999999999997e-001	-4.737306e-006
-1.999999999999997e-001	-3.795477e-006
-1.499999999999997e-001	-2.822685e-006
-9.999999999999969e-002	-1.827352e-006
-4.999999999999968e-002	-8.175058e-007
3.191891195797325e-016	1.990766e-007
5.000000000000032e-002	1.214748e-006
1.000000000000003e-001	2.221871e-006
1.500000000000003e-001	3.212701e-006
2.000000000000003e-001	4.179260e-006
2.500000000000003e-001	5.113203e-006
3.000000000000003e-001	6.005664e-006
3.500000000000003e-001	6.847039e-006
4.000000000000003e-001	7.626701e-006
4.500000000000003e-001	8.332627e-006
5.000000000000003e-001	8.951555e-006
5.500000000000004e-001	9.470620e-006
6.000000000000004e-001	9.879591e-006
6.500000000000005e-001	1.017251e-005
7.000000000000005e-001	1.035188e-005
7.500000000000006e-001	1.043705e-005
8.000000000000006e-001	1.046672e-005
8.500000000000006e-001	1.047605e-005
9.000000000000007e-001	1.048019e-005
9.500000000000007e-001	1.048311e-005
1.000000000000000e+000	1.048568e-005
Step Information: Vcm=300m  (Run: 7/101)
-1.000000000000000e+000	-1.021812e-005
-9.500000000000000e-001	-1.021535e-005
-8.999999999999999e-001	-1.021228e-005
-8.499999999999999e-001	-1.020822e-005
-7.999999999999998e-001	-1.019977e-005
-7.499999999999998e-001	-1.017272e-005
-6.999999999999997e-001	-1.009035e-005
-6.499999999999997e-001	-9.908905e-006
-5.999999999999996e-001	-9.606573e-006
-5.499999999999996e-001	-9.182401e-006
-4.999999999999996e-001	-8.645829e-006
-4.499999999999996e-001	-8.010304e-006
-3.999999999999996e-001	-7.289826e-006
-3.499999999999996e-001	-6.497355e-006
-2.999999999999997e-001	-5.644575e-006
-2.499999999999997e-001	-4.742056e-006
-1.999999999999997e-001	-3.799479e-006
-1.499999999999997e-001	-2.825818e-006
-9.999999999999969e-002	-1.829519e-006
-4.999999999999968e-002	-8.186427e-007
3.191891195797325e-016	1.990027e-007
5.000000000000032e-002	1.215735e-006
1.000000000000003e-001	2.223882e-006
1.500000000000003e-001	3.215664e-006
2.000000000000003e-001	4.183074e-006
2.500000000000003e-001	5.117746e-006
3.000000000000003e-001	6.010810e-006
3.500000000000003e-001	6.852734e-006
4.000000000000003e-001	7.633143e-006
4.500000000000003e-001	8.340619e-006
5.000000000000003e-001	8.962562e-006
5.500000000000004e-001	9.485473e-006
6.000000000000004e-001	9.896599e-006
6.500000000000005e-001	1.018743e-005
7.000000000000005e-001	1.036012e-005
7.500000000000006e-001	1.043748e-005
8.000000000000006e-001	1.046270e-005
8.500000000000006e-001	1.047072e-005
9.000000000000007e-001	1.047470e-005
9.500000000000007e-001	1.047777e-005
1.000000000000000e+000	1.048056e-005
Step Information: Vcm=350m  (Run: 8/101)
-1.000000000000000e+000	-1.021255e-005
-9.500000000000000e-001	-1.020954e-005
-8.999999999999999e-001	-1.020628e-005
-8.499999999999999e-001	-1.020222e-005
-7.999999999999998e-001	-1.019446e-005
-7.499999999999998e-001	-1.017005e-005
-6.999999999999997e-001	-1.009240e-005
-6.499999999999997e-001	-9.914642e-006
-5.999999999999996e-001	-9.613267e-006
-5.499999999999996e-001	-9.188566e-006
-4.999999999999996e-001	-8.651466e-006
-4.499999999999996e-001	-8.015798e-006
-3.999999999999996e-001	-7.295301e-006
-3.499999999999996e-001	-6.502708e-006
-2.999999999999997e-001	-5.649617e-006
-2.499999999999997e-001	-4.746592e-006
-1.999999999999997e-001	-3.803332e-006
-1.499999999999997e-001	-2.828849e-006
-9.999999999999969e-002	-1.831622e-006
-4.999999999999968e-002	-8.197477e-007
3.191891195797325e-016	1.989280e-007
5.000000000000032e-002	1.216688e-006
1.000000000000003e-001	2.225825e-006
1.500000000000003e-001	3.218524e-006
2.000000000000003e-001	4.186741e-006
2.500000000000003e-001	5.122074e-006
3.000000000000003e-001	6.015622e-006
3.500000000000003e-001	6.857831e-006
4.000000000000003e-001	7.638332e-006
4.500000000000003e-001	8.345794e-006
5.000000000000003e-001	8.967832e-006
5.500000000000004e-001	9.491202e-006
6.000000000000004e-001	9.902752e-006
6.500000000000005e-001	1.019256e-005
7.000000000000005e-001	1.036161e-005
7.500000000000006e-001	1.043447e-005
8.000000000000006e-001	1.045725e-005
8.500000000000006e-001	1.046465e-005
9.000000000000007e-001	1.046866e-005
9.500000000000007e-001	1.047192e-005
1.000000000000000e+000	1.047494e-005
Step Information: Vcm=400m  (Run: 9/101)
-1.000000000000000e+000	-1.020648e-005
-9.500000000000000e-001	-1.020325e-005
-8.999999999999999e-001	-1.019980e-005
-8.499999999999999e-001	-1.019565e-005
-7.999999999999998e-001	-1.018819e-005
-7.499999999999998e-001	-1.016514e-005
-6.999999999999997e-001	-1.009010e-005
-6.499999999999997e-001	-9.914789e-006
-5.999999999999996e-001	-9.615071e-006
-5.499999999999996e-001	-9.191588e-006
-4.999999999999996e-001	-8.655438e-006
-4.499999999999996e-001	-8.020438e-006
-3.999999999999996e-001	-7.300296e-006
-3.499999999999996e-001	-6.507754e-006
-2.999999999999997e-001	-5.654441e-006
-2.499999999999997e-001	-4.750962e-006
-1.999999999999997e-001	-3.807061e-006
-1.499999999999997e-001	-2.831788e-006
-9.999999999999969e-002	-1.833664e-006
-4.999999999999968e-002	-8.208232e-007
3.191891195797325e-016	1.988526e-007
5.000000000000032e-002	1.217610e-006
1.000000000000003e-001	2.227707e-006
1.500000000000003e-001	3.221291e-006
2.000000000000003e-001	4.190281e-006
2.500000000000003e-001	5.126236e-006
3.000000000000003e-001	6.020215e-006
3.500000000000003e-001	6.862620e-006
4.000000000000003e-001	7.643047e-006
4.500000000000003e-001	8.350127e-006
5.000000000000003e-001	8.971476e-006
5.500000000000004e-001	9.493872e-006
6.000000000000004e-001	9.904188e-006
6.500000000000005e-001	1.019232e-005
7.000000000000005e-001	1.035898e-005
7.500000000000006e-001	1.042935e-005
8.000000000000006e-001	1.045088e-005
8.500000000000006e-001	1.045802e-005
9.000000000000007e-001	1.046213e-005
9.500000000000007e-001	1.046559e-005
1.000000000000000e+000	1.046884e-005
Step Information: Vcm=450m  (Run: 10/101)
-1.000000000000000e+000	-1.019996e-005
-9.500000000000000e-001	-1.019652e-005
-8.999999999999999e-001	-1.019290e-005
-8.499999999999999e-001	-1.018866e-005
-7.999999999999998e-001	-1.018132e-005
-7.499999999999998e-001	-1.015904e-005
-6.999999999999997e-001	-1.008584e-005
-6.499999999999997e-001	-9.912898e-006
-5.999999999999996e-001	-9.615377e-006
-5.499999999999996e-001	-9.193671e-006
-4.999999999999996e-001	-8.658829e-006
-4.499999999999996e-001	-8.024690e-006
-3.999999999999996e-001	-7.305007e-006
-3.499999999999996e-001	-6.512578e-006
-2.999999999999997e-001	-5.659087e-006
-2.499999999999997e-001	-4.755189e-006
-1.999999999999997e-001	-3.810676e-006
-1.499999999999997e-001	-2.834643e-006
-9.999999999999969e-002	-1.835650e-006
-4.999999999999968e-002	-8.218711e-007
3.191891195797325e-016	1.987765e-007
5.000000000000032e-002	1.218503e-006
1.000000000000003e-001	2.229531e-006
1.500000000000003e-001	3.223972e-006
2.000000000000003e-001	4.193707e-006
2.500000000000003e-001	5.130255e-006
3.000000000000003e-001	6.024630e-006
3.500000000000003e-001	6.867191e-006
4.000000000000003e-001	7.647480e-006
4.500000000000003e-001	8.354078e-006
5.000000000000003e-001	8.974547e-006
5.500000000000004e-001	9.495625e-006
6.000000000000004e-001	9.904170e-006
6.500000000000005e-001	1.019013e-005
7.000000000000005e-001	1.035449e-005
7.500000000000006e-001	1.042311e-005
8.000000000000006e-001	1.044393e-005
8.500000000000006e-001	1.045098e-005
9.000000000000007e-001	1.045519e-005
9.500000000000007e-001	1.045882e-005
1.000000000000000e+000	1.046227e-005
Step Information: Vcm=500m  (Run: 11/101)
-1.000000000000000e+000	-1.019304e-005
-9.500000000000000e-001	-1.018945e-005
-8.999999999999999e-001	-1.018571e-005
-8.499999999999999e-001	-1.018140e-005
-7.999999999999998e-001	-1.017415e-005
-7.499999999999998e-001	-1.015247e-005
-6.999999999999997e-001	-1.008092e-005
-6.499999999999997e-001	-9.910354e-006
-5.999999999999996e-001	-9.615154e-006
-5.499999999999996e-001	-9.195345e-006
-4.999999999999996e-001	-8.661899e-006
-4.499999999999996e-001	-8.028680e-006
-3.999999999999996e-001	-7.309498e-006
-3.499999999999996e-001	-6.517215e-006
-2.999999999999997e-001	-5.663574e-006
-2.499999999999997e-001	-4.759283e-006
-1.999999999999997e-001	-3.814185e-006
-1.499999999999997e-001	-2.837418e-006
-9.999999999999969e-002	-1.837583e-006
-4.999999999999968e-002	-8.228926e-007
3.191891195797325e-016	1.986995e-007
5.000000000000032e-002	1.219369e-006
1.000000000000003e-001	2.231301e-006
1.500000000000003e-001	3.226573e-006
2.000000000000003e-001	4.197027e-006
2.500000000000003e-001	5.134141e-006
3.000000000000003e-001	6.028887e-006
3.500000000000003e-001	6.871575e-006
4.000000000000003e-001	7.651694e-006
4.500000000000003e-001	8.357770e-006
5.000000000000003e-001	8.977303e-006
5.500000000000004e-001	9.496978e-006
6.000000000000004e-001	9.903635e-006
6.500000000000005e-001	1.018731e-005
7.000000000000005e-001	1.034937e-005
7.500000000000006e-001	1.041643e-005
8.000000000000006e-001	1.043669e-005
8.500000000000006e-001	1.044366e-005
9.000000000000007e-001	1.044794e-005
9.500000000000007e-001	1.045170e-005
1.000000000000000e+000	1.045532e-005
Step Information: Vcm=550m  (Run: 12/101)
-1.000000000000000e+000	-1.018584e-005
-9.500000000000000e-001	-1.018215e-005
-8.999999999999999e-001	-1.017833e-005
-8.499999999999999e-001	-1.017399e-005
-7.999999999999998e-001	-1.016682e-005
-7.499999999999998e-001	-1.014570e-005
-6.999999999999997e-001	-1.007573e-005
-6.499999999999997e-001	-9.907502e-006
-5.999999999999996e-001	-9.614636e-006
-5.499999999999996e-001	-9.196751e-006
-4.999999999999996e-001	-8.664728e-006
-4.499999999999996e-001	-8.032453e-006
-3.999999999999996e-001	-7.313797e-006
-3.499999999999996e-001	-6.521683e-006
-2.999999999999997e-001	-5.667913e-006
-2.499999999999997e-001	-4.763253e-006
-1.999999999999997e-001	-3.817593e-006
-1.499999999999997e-001	-2.840116e-006
-9.999999999999969e-002	-1.839465e-006
-4.999999999999968e-002	-8.238890e-007
3.191891195797325e-016	1.986217e-007
5.000000000000032e-002	1.220207e-006
1.000000000000003e-001	2.233018e-006
1.500000000000003e-001	3.229095e-006
2.000000000000003e-001	4.200243e-006
2.500000000000003e-001	5.137901e-006
3.000000000000003e-001	6.032995e-006
3.500000000000003e-001	6.875789e-006
4.000000000000003e-001	7.655717e-006
4.500000000000003e-001	8.361247e-006
5.000000000000003e-001	8.979820e-006
5.500000000000004e-001	9.498067e-006
6.000000000000004e-001	9.902811e-006
6.500000000000005e-001	1.018420e-005
7.000000000000005e-001	1.034398e-005
7.500000000000006e-001	1.040955e-005
8.000000000000006e-001	1.042931e-005
8.500000000000006e-001	1.043621e-005
9.000000000000007e-001	1.044052e-005
9.500000000000007e-001	1.044435e-005
1.000000000000000e+000	1.044806e-005
Step Information: Vcm=600m  (Run: 13/101)
-1.000000000000000e+000	-1.017846e-005
-9.500000000000000e-001	-1.017471e-005
-8.999999999999999e-001	-1.017085e-005
-8.499999999999999e-001	-1.016649e-005
-7.999999999999998e-001	-1.015941e-005
-7.499999999999998e-001	-1.013880e-005
-6.999999999999997e-001	-1.007035e-005
-6.499999999999997e-001	-9.904432e-006
-5.999999999999996e-001	-9.613890e-006
-5.499999999999996e-001	-9.197935e-006
-4.999999999999996e-001	-8.667347e-006
-4.499999999999996e-001	-8.036032e-006
-3.999999999999996e-001	-7.317918e-006
-3.499999999999996e-001	-6.525990e-006
-2.999999999999997e-001	-5.672112e-006
-2.499999999999997e-001	-4.767104e-006
-1.999999999999997e-001	-3.820905e-006
-1.499999999999997e-001	-2.842742e-006
-9.999999999999969e-002	-1.841299e-006
-4.999999999999968e-002	-8.248614e-007
3.191891195797325e-016	1.985431e-007
5.000000000000032e-002	1.221020e-006
1.000000000000003e-001	2.234686e-006
1.500000000000003e-001	3.231544e-006
2.000000000000003e-001	4.203363e-006
2.500000000000003e-001	5.141542e-006
3.000000000000003e-001	6.036963e-006
3.500000000000003e-001	6.879842e-006
4.000000000000003e-001	7.659562e-006
4.500000000000003e-001	8.364530e-006
5.000000000000003e-001	8.982128e-006
5.500000000000004e-001	9.498935e-006
6.000000000000004e-001	9.901762e-006
6.500000000000005e-001	1.018086e-005
7.000000000000005e-001	1.033841e-005
7.500000000000006e-001	1.040255e-005
8.000000000000006e-001	1.042183e-005
8.500000000000006e-001	1.042866e-005
9.000000000000007e-001	1.043299e-005
9.500000000000007e-001	1.043686e-005
1.000000000000000e+000	1.044063e-005
Step Information: Vcm=650m  (Run: 14/101)
-1.000000000000000e+000	-1.017100e-005
-9.500000000000000e-001	-1.016719e-005
-8.999999999999999e-001	-1.016330e-005
-8.499999999999999e-001	-1.015892e-005
-7.999999999999998e-001	-1.015191e-005
-7.499999999999998e-001	-1.013179e-005
-6.999999999999997e-001	-1.006481e-005
-6.499999999999997e-001	-9.901172e-006
-5.999999999999996e-001	-9.612942e-006
-5.499999999999996e-001	-9.198918e-006
-4.999999999999996e-001	-8.669771e-006
-4.499999999999996e-001	-8.039427e-006
-3.999999999999996e-001	-7.321869e-006
-3.499999999999996e-001	-6.530144e-006
-2.999999999999997e-001	-5.676177e-006
-2.499999999999997e-001	-4.770841e-006
-1.999999999999997e-001	-3.824124e-006
-1.499999999999997e-001	-2.845298e-006
-9.999999999999969e-002	-1.843085e-006
-4.999999999999968e-002	-8.258106e-007
3.191891195797325e-016	1.984636e-007
5.000000000000032e-002	1.221808e-006
1.000000000000003e-001	2.236304e-006
1.500000000000003e-001	3.233921e-006
2.000000000000003e-001	4.206389e-006
2.500000000000003e-001	5.145067e-006
3.000000000000003e-001	6.040797e-006
3.500000000000003e-001	6.883743e-006
4.000000000000003e-001	7.663237e-006
4.500000000000003e-001	8.367630e-006
5.000000000000003e-001	8.984243e-006
5.500000000000004e-001	9.499605e-006
6.000000000000004e-001	9.900516e-006
6.500000000000005e-001	1.017735e-005
7.000000000000005e-001	1.033270e-005
7.500000000000006e-001	1.039544e-005
8.000000000000006e-001	1.041427e-005
8.500000000000006e-001	1.042103e-005
9.000000000000007e-001	1.042538e-005
9.500000000000007e-001	1.042929e-005
1.000000000000000e+000	1.043310e-005
Step Information: Vcm=700m  (Run: 15/101)
-1.000000000000000e+000	-1.016350e-005
-9.500000000000000e-001	-1.015963e-005
-8.999999999999999e-001	-1.015568e-005
-8.499999999999999e-001	-1.015127e-005
-7.999999999999998e-001	-1.014433e-005
-7.499999999999998e-001	-1.012467e-005
-6.999999999999997e-001	-1.005913e-005
-6.499999999999997e-001	-9.897736e-006
-5.999999999999996e-001	-9.611806e-006
-5.499999999999996e-001	-9.199709e-006
-4.999999999999996e-001	-8.672010e-006
-4.499999999999996e-001	-8.042648e-006
-3.999999999999996e-001	-7.325658e-006
-3.499999999999996e-001	-6.534152e-006
-2.999999999999997e-001	-5.680112e-006
-2.499999999999997e-001	-4.774468e-006
-1.999999999999997e-001	-3.827253e-006
-1.499999999999997e-001	-2.847785e-006
-9.999999999999969e-002	-1.844826e-006
-4.999999999999968e-002	-8.267374e-007
3.191891195797325e-016	1.983832e-007
5.000000000000032e-002	1.222572e-006
1.000000000000003e-001	2.237876e-006
1.500000000000003e-001	3.236229e-006
2.000000000000003e-001	4.209324e-006
2.500000000000003e-001	5.148482e-006
3.000000000000003e-001	6.044500e-006
3.500000000000003e-001	6.887497e-006
4.000000000000003e-001	7.666751e-006
4.500000000000003e-001	8.370555e-006
5.000000000000003e-001	8.986174e-006
5.500000000000004e-001	9.500086e-006
6.000000000000004e-001	9.899081e-006
6.500000000000005e-001	1.017365e-005
7.000000000000005e-001	1.032683e-005
7.500000000000006e-001	1.038822e-005
8.000000000000006e-001	1.040662e-005
8.500000000000006e-001	1.041332e-005
9.000000000000007e-001	1.041770e-005
9.500000000000007e-001	1.042164e-005
1.000000000000000e+000	1.042548e-005
Step Information: Vcm=750m  (Run: 16/101)
-1.000000000000000e+000	-1.015615e-005
-9.500000000000000e-001	-1.015210e-005
-8.999999999999999e-001	-1.014804e-005
-8.499999999999999e-001	-1.014358e-005
-7.999999999999998e-001	-1.013668e-005
-7.499999999999998e-001	-1.011746e-005
-6.999999999999997e-001	-1.005331e-005
-6.499999999999997e-001	-9.894130e-006
-5.999999999999996e-001	-9.610487e-006
-5.499999999999996e-001	-9.200317e-006
-4.999999999999996e-001	-8.674070e-006
-4.499999999999996e-001	-8.045698e-006
-3.999999999999996e-001	-7.329289e-006
-3.499999999999996e-001	-6.538017e-006
-2.999999999999997e-001	-5.683923e-006
-2.499999999999997e-001	-4.777988e-006
-1.999999999999997e-001	-3.830296e-006
-1.499999999999997e-001	-2.850207e-006
-9.999999999999969e-002	-1.846523e-006
-4.999999999999968e-002	-8.276427e-007
3.191891195797325e-016	1.983020e-007
5.000000000000032e-002	1.223313e-006
1.000000000000003e-001	2.239402e-006
1.500000000000003e-001	3.238469e-006
2.000000000000003e-001	4.212171e-006
2.500000000000003e-001	5.151789e-006
3.000000000000003e-001	6.048077e-006
3.500000000000003e-001	6.891108e-006
4.000000000000003e-001	7.670107e-006
4.500000000000003e-001	8.373312e-006
5.000000000000003e-001	8.987928e-006
5.500000000000004e-001	9.500384e-006
6.000000000000004e-001	9.897467e-006
6.500000000000005e-001	1.016979e-005
7.000000000000005e-001	1.032083e-005
7.500000000000006e-001	1.038090e-005
8.000000000000006e-001	1.039889e-005
8.500000000000006e-001	1.040554e-005
9.000000000000007e-001	1.040993e-005
9.500000000000007e-001	1.041390e-005
1.000000000000000e+000	1.041777e-005
Step Information: Vcm=800m  (Run: 17/101)
-1.000000000000000e+000	-1.014953e-005
-9.500000000000000e-001	-1.014492e-005
-8.999999999999999e-001	-1.014054e-005
-8.499999999999999e-001	-1.013591e-005
-7.999999999999998e-001	-1.012900e-005
-7.499999999999998e-001	-1.011018e-005
-6.999999999999997e-001	-1.004737e-005
-6.499999999999997e-001	-9.890368e-006
-5.999999999999996e-001	-9.608997e-006
-5.499999999999996e-001	-9.200751e-006
-4.999999999999996e-001	-8.675959e-006
-4.499999999999996e-001	-8.048585e-006
-3.999999999999996e-001	-7.332769e-006
-3.499999999999996e-001	-6.541745e-006
-2.999999999999997e-001	-5.687612e-006
